ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
"Applications Granted - PV Mode wise","RPO Chennai","No Verification",1316,6197,69329,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Chennai","Post Verification",1385,6235,68535,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Chennai","Pre Verification",5961,21902,220235,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Chennai","More than 21 Days",50,302,4526,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Chennai","Within 21 Days",6499,24334,263251,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Cochin",Normal,9526,44951,424279,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Cochin",Tatkaal,466,2277,22180,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Cochin",FEMALE,4527,20414,195651,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Cochin",MALE,5465,26806,250732,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Cochin",TRANSGENDER,0,0,0,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Cochin","Count of Applications",9992,47220,446383,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Cochin","10TH PASS AND ABOVE",4384,21436,201585,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Cochin","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Cochin","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Cochin","GRADUATE AND ABOVE",2527,11212,108253,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Cochin",Between_18_to_35,4837,22907,215885,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Cochin",Between_36_to_60,2781,12966,118662,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Cochin",GreaterThan60,799,3822,36178,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Cochin",LessThan18,1575,7525,75658,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Cochin",Challan,158100,867300,7707850,"2019-11-03 04:29:09.831353"
